P,I,D,CTE,Total Error,Speed,Steer Value,Steering Angle
0.6282,119.842,-0.0013,0.6282,1.59592,13.3183,-0.04982,-0.8407
0.6268,120.469,-0.0014,0.6268,1.59707,13.3556,-0.04868,-0.8124
0.6268,121.095,0,0.6268,1.59821,13.3556,-0.06268,-0.8124
0.6254,121.721,-0.0014,0.6254,1.59934,13.5434,-0.04854,-0.7807
0.6238,122.345,-0.0016,0.6238,1.60046,13.5223,-0.04638,-1.1307
0.6222,122.967,-0.0016,0.6222,1.60156,13.6538,-0.04622,-0.7772
0.6204,123.587,-0.0018,0.6204,1.60266,13.792,-0.04404,-0.7232
0.6187,124.206,-0.0017,0.6187,1.60374,13.72,-0.04487,-0.7192
0.6187,124.825,0,0.6187,1.60481,13.72,-0.06187,-0.7192
0.6169,125.442,-0.0018,0.6169,1.60588,14.1553,-0.04369,-0.6854
0.615,126.057,-0.0019,0.615,1.60693,13.7941,-0.0425,-1.1104
0.613,126.67,-0.002,0.613,1.60797,14.3117,-0.0413,-0.6559
0.6109,127.28,-0.0021,0.6109,1.60899,14.0576,-0.04009,-0.6262
0.6088,127.889,-0.0021,0.6088,1.61,14.4176,-0.03988,-0.5962
0.6088,128.498,0,0.6088,1.61101,14.4176,-0.06088,-0.5962
0.6066,129.105,-0.0022,0.6066,1.61201,14.4016,-0.03866,-0.5607
0.6044,129.709,-0.0022,0.6044,1.61299,14.5227,-0.03844,-1.0857
0.602,130.311,-0.0024,0.602,1.61396,14.6512,-0.0362,-0.5302
0.5996,130.911,-0.0024,0.5996,1.61491,14.5917,-0.03596,-0.5247
0.5972,131.508,-0.0024,0.5972,1.61586,14.7721,-0.03572,-0.4687
0.5972,132.105,0,0.5972,1.61679,14.7721,-0.05972,-0.4687
0.5947,132.7,-0.0025,0.5947,1.61772,14.9298,-0.03447,-0.4567
0.592,133.292,-0.0027,0.592,1.61863,14.9858,-0.0322,-1.0567
0.5893,133.881,-0.0027,0.5893,1.61953,15.0276,-0.03193,-0.4254
0.5866,134.468,-0.0027,0.5866,1.62042,15.1549,-0.03166,-0.3687
0.5839,135.052,-0.0027,0.5839,1.62129,15.2474,-0.03139,-0.3619
